"","timestamp","idRota","travel_time"
"1",2024-09-24 04:42:51.943032,"R01-2-Av. Pres. Castelo Branco-OL",294
"2",2024-09-24 04:42:51.943032,"R07-1-Av. 13 de Maio-LO",245
"3",2024-09-24 04:42:51.943032,"R16-2-Av. Alberto Craveiro-NS",284
"4",2024-09-24 04:42:51.943032,"R17-2-Av. Raul Barbosa-SN",222
"5",2024-09-24 04:44:52.82218,"R01-2-Av. Pres. Castelo Branco-OL",292
"6",2024-09-24 04:44:52.82218,"R07-1-Av. 13 de Maio-LO",246
"7",2024-09-24 04:44:52.82218,"R16-2-Av. Alberto Craveiro-NS",286
"8",2024-09-24 04:44:52.82218,"R17-2-Av. Raul Barbosa-SN",223
"9",2024-09-24 04:46:53.402984,"R01-2-Av. Pres. Castelo Branco-OL",294
"10",2024-09-24 04:46:53.402984,"R07-1-Av. 13 de Maio-LO",248
"11",2024-09-24 04:46:53.402984,"R16-2-Av. Alberto Craveiro-NS",284
"12",2024-09-24 04:46:53.402984,"R17-2-Av. Raul Barbosa-SN",224
"13",2024-09-24 04:48:53.904217,"R01-2-Av. Pres. Castelo Branco-OL",294
"14",2024-09-24 04:48:53.904217,"R07-1-Av. 13 de Maio-LO",251
"15",2024-09-24 04:48:53.904217,"R16-2-Av. Alberto Craveiro-NS",284
"16",2024-09-24 04:48:53.904217,"R17-2-Av. Raul Barbosa-SN",223
"17",2024-09-24 04:50:54.381445,"R01-2-Av. Pres. Castelo Branco-OL",290
"18",2024-09-24 04:50:54.381445,"R07-1-Av. 13 de Maio-LO",251
"19",2024-09-24 04:50:54.381445,"R16-2-Av. Alberto Craveiro-NS",286
"20",2024-09-24 04:50:54.381445,"R17-2-Av. Raul Barbosa-SN",221
"21",2024-09-24 04:52:54.895385,"R01-2-Av. Pres. Castelo Branco-OL",291
"22",2024-09-24 04:52:54.895385,"R07-1-Av. 13 de Maio-LO",252
"23",2024-09-24 04:52:54.895385,"R16-2-Av. Alberto Craveiro-NS",286
"24",2024-09-24 04:52:54.895385,"R17-2-Av. Raul Barbosa-SN",222
"25",2024-09-24 04:54:55.476616,"R01-2-Av. Pres. Castelo Branco-OL",292
"26",2024-09-24 04:54:55.476616,"R07-1-Av. 13 de Maio-LO",253
"27",2024-09-24 04:54:55.476616,"R16-2-Av. Alberto Craveiro-NS",286
"28",2024-09-24 04:54:55.476616,"R17-2-Av. Raul Barbosa-SN",224
"29",2024-09-24 04:56:55.932608,"R01-2-Av. Pres. Castelo Branco-OL",293
"30",2024-09-24 04:56:55.932608,"R07-1-Av. 13 de Maio-LO",253
"31",2024-09-24 04:56:55.932608,"R16-2-Av. Alberto Craveiro-NS",286
"32",2024-09-24 04:56:55.932608,"R17-2-Av. Raul Barbosa-SN",225
"33",2024-09-24 04:58:56.370744,"R01-2-Av. Pres. Castelo Branco-OL",292
"34",2024-09-24 04:58:56.370744,"R07-1-Av. 13 de Maio-LO",250
"35",2024-09-24 04:58:56.370744,"R16-2-Av. Alberto Craveiro-NS",285
"36",2024-09-24 04:58:56.370744,"R17-2-Av. Raul Barbosa-SN",225
"37",2024-09-24 05:00:57.108447,"R01-2-Av. Pres. Castelo Branco-OL",291
"38",2024-09-24 05:00:57.108447,"R07-1-Av. 13 de Maio-LO",250
"39",2024-09-24 05:00:57.108447,"R16-2-Av. Alberto Craveiro-NS",285
"40",2024-09-24 05:00:57.108447,"R17-2-Av. Raul Barbosa-SN",227
"41",2024-09-24 05:02:57.679593,"R01-2-Av. Pres. Castelo Branco-OL",291
"42",2024-09-24 05:02:57.679593,"R07-1-Av. 13 de Maio-LO",250
"43",2024-09-24 05:02:57.679593,"R16-2-Av. Alberto Craveiro-NS",286
"44",2024-09-24 05:02:57.679593,"R17-2-Av. Raul Barbosa-SN",225
"45",2024-09-24 05:04:58.265364,"R01-2-Av. Pres. Castelo Branco-OL",290
"46",2024-09-24 05:04:58.265364,"R07-1-Av. 13 de Maio-LO",252
"47",2024-09-24 05:04:58.265364,"R16-2-Av. Alberto Craveiro-NS",286
"48",2024-09-24 05:04:58.265364,"R17-2-Av. Raul Barbosa-SN",224
